SMS_id,TEXT
1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
2,Ok lar... Joking wif u oni...
3,U dun say so early hor... U c already then say...
4,Ok no prob. Take ur time.
5,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
6,"Sorry, I'll call later"
7,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
8,Would really appreciate if you call me. Just need someone to talk to.
9,Tomarrow final hearing on my laptop case so i cant.
10,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
11,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
12,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
13,U don't remember that old commercial?
14,Too late. I said i have the website. I didn't i have or dont have the slippers
15,I asked you to call him now ok
16,K.k:)advance happy pongal.
17,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
18,"Not really dude, have no friends i'm afraid :("
19,"Coffee cake, i guess..."
20,"Merry Christmas to you too babe, i love ya *kisses*"
21,Hey... Why dont we just go watch x men and have lunch... Haha 
22,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
23,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
24,No problem. How are you doing?
25,No calls..messages..missed calls
26,Hi da:)how is the todays class?
27,"I'd say that's a good sign but, well, you know my track record at reading women"
28,"Cool, text me when you're parked"
29,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
30,K.k:)apo k.good movie.
31,Maybe i could get book out tomo then return it immediately ..? Or something.
32,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
33,"Ta-Daaaaa! I am home babe, are you still up ?"
34,Cool. So how come you havent been wined and dined before?
35,Just sleeping..and surfing
36,"Sorry, I'll call later"
37,U calling me right? Call my hand phone...
38,Ok that's great thanx a lot.
39,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
40,Where u been hiding stranger?
41,Am not interested to do like that.
42,My sister cleared two round in birla soft yesterday.
43,Gudnite....tc...practice going on
44,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
45,One small prestige problem now.
46,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
47,"Nah can't help you there, I've never had an iphone"
48,If you're not in my car in an hour and a half I'm going apeshit
49,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
50,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
51,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
52,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
53,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
54,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
55,Ha ha cool cool chikku chikku:-):-DB-)
56,Oh ok no prob..
57,Well i know Z will take care of me. So no worries.
58,Wat uniform? In where get?
59,"Cool, text me when you're ready"
60,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
61,I will spoil you in bed as well :)
62,I'm going for bath will msg you next  &lt;#&gt;  min..
63,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
64,Can you say what happen
65,You could have seen me..i did't recognise you Face.:)
66,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
67,Keep my payasam there if rinu brings
68,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
69,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
70,"Yeah sure, give me a couple minutes to track down my wallet"
71,Hey leave it. not a big deal:-) take care.
72,Hey i will be late ah... Meet you at 945+
73,It took Mr owl 3 licks
74,Customer place i will call you.
75,Mm that time you dont like fun
76,Yup having my lunch buffet now.. U eat already?
77,Huh so late... Fr dinner?
78,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
79,Morning only i can ok.
80,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
81,Pick you up bout 7.30ish? What time are  and that going?
82,From here after The performance award is calculated every two month.not for current one month period..
83,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
84,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
85,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
86,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
87,Dear how is chechi. Did you talk to her
88,The hair cream has not been shipped.
89,None of that's happening til you get here though
90,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
91,"Haha get used to driving to usf man, I know a lot of stoners"
92,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
93,Hello! Good week? Fancy a drink or something later?
94,Headin towards busetop
